ID	ckpt	sample_mIoU	F1@0.1	F1@0.3	F1@0.5	F1@0.7	F1@0.9	CR	FMR	CountF1	SCR	R@0.1	R@0.3	R@0.5	R@0.7	R@0.9	gt(mean)	pred(mean)	n_samples	testset
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	1000	65.68	79.23	56.90	43.20	35.21	24.10	0.20	0.06	0.32	0.75	75.71	50.36	37.80	30.81	21.09	1.69	1.27	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	500	65.35	78.27	58.33	42.86	33.21	22.98	0.36	0.19	0.50	0.99	80.33	57.82	42.65	33.06	22.87	1.69	1.67	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	2000	65.21	79.19	55.48	42.03	34.39	26.16	0.03	0.00	0.06	0.61	70.26	45.14	33.89	27.73	21.09	1.69	1.03	500	unav100_500
sft_7b_unav_v8_rl_v2_rMfp02_clip_mu2	1500	64.91	78.00	54.40	41.67	33.93	25.45	0.00	0.00	0.00	0.59	68.48	43.72	33.18	27.01	20.26	1.69	1.00	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	2000	64.80	78.19	54.13	41.45	34.07	25.12	0.12	0.05	0.21	0.67	72.04	45.62	34.60	28.44	20.97	1.69	1.13	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_clip_mu2	1000	64.71	74.87	55.78	41.53	32.25	22.58	0.25	0.11	0.39	0.89	76.18	52.84	39.22	30.45	21.33	1.69	1.50	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	400	64.61	74.90	54.75	40.64	32.11	23.32	0.15	0.07	0.25	0.78	72.63	49.05	36.14	28.55	20.73	1.69	1.31	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	1600	64.60	77.83	54.16	41.68	34.26	25.27	0.10	0.05	0.19	0.66	71.33	45.38	34.60	28.44	20.97	1.69	1.11	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	200	64.58	76.95	54.59	41.29	33.45	24.23	0.15	0.06	0.25	0.72	72.27	47.39	35.55	28.79	20.85	1.69	1.22	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMfp02_clip_mu2	1000	64.54	77.18	54.46	41.49	34.05	24.98	0.00	0.00	0.00	0.59	67.65	43.84	33.06	27.13	19.91	1.69	1.00	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_clip_mu2	500	64.43	74.93	56.20	41.37	32.52	22.68	0.24	0.13	0.38	0.90	76.18	53.44	39.34	30.92	21.56	1.69	1.52	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_clip_mu2	200	64.26	71.11	51.69	37.63	29.93	21.87	0.14	0.08	0.24	0.94	73.82	50.36	36.49	29.03	21.21	1.69	1.59	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	1000	64.17	77.18	53.59	40.26	33.40	25.12	0.10	0.05	0.17	0.66	70.73	44.91	33.41	27.73	20.85	1.69	1.11	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	600	64.14	76.91	54.94	41.70	33.08	24.33	0.18	0.08	0.30	0.73	72.75	47.87	36.14	28.67	21.09	1.69	1.24	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rM_fp02	400	63.96	76.64	53.10	40.62	33.48	24.85	0.00	0.00	0.00	0.59	67.18	42.77	32.35	26.66	19.79	1.69	1.00	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rM_fp02	500	63.95	76.64	53.25	40.62	33.48	24.85	0.00	0.00	0.00	0.59	67.18	42.89	32.35	26.66	19.79	1.69	1.00	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rM_fp02	300	63.93	76.64	53.25	40.48	33.48	24.85	0.00	0.00	0.00	0.59	67.18	42.89	32.23	26.66	19.79	1.69	1.00	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep2_batch4	200	63.87	71.79	52.66	37.61	29.02	21.04	0.19	0.10	0.32	0.96	75.24	51.78	36.85	28.44	20.62	1.69	1.62	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rM_fp02	200	63.71	76.65	52.91	40.59	32.71	24.68	0.00	0.00	0.00	0.59	67.30	42.65	32.35	26.07	19.67	1.69	1.00	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	100	63.58	64.17	47.34	34.63	27.40	19.51	0.11	0.10	0.20	0.86	73.10	51.18	37.44	29.62	21.09	1.69	1.96	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff	1000	63.57	76.26	53.90	40.15	31.37	22.65	0.23	0.10	0.37	0.85	75.14	50.27	37.08	29.00	20.93	1.71	1.45	3455	unav100_tail
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	200	63.03	58.34	42.53	31.41	25.02	17.75	0.11	0.12	0.20	0.73	72.51	50.47	37.32	29.74	21.09	1.69	2.32	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rM_fp02	100	62.84	67.56	50.13	37.64	30.14	22.14	0.06	0.03	0.12	0.92	69.79	48.58	36.26	29.03	21.33	1.69	1.56	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpucha_batch4	800	62.66	77.17	53.83	40.65	31.80	23.25	0.14	0.05	0.24	0.69	70.32	45.70	34.23	26.87	19.68	1.70	1.18	3000	unav100_tail
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	500	62.64	75.39	54.69	40.88	31.48	22.41	0.23	0.09	0.37	0.87	74.73	51.32	38.12	29.36	20.90	1.71	1.48	3455	unav100_tail
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	700	62.63	76.68	54.68	42.11	33.17	24.07	0.12	0.03	0.21	0.68	69.58	46.54	35.46	27.93	20.27	1.71	1.17	3455	unav100_tail
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2	1000	62.54	76.23	53.51	40.55	32.71	24.11	0.06	0.01	0.12	0.64	68.17	44.47	33.24	26.81	19.76	1.71	1.09	3455	unav100
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	2000	62.46	76.46	54.56	41.60	33.75	24.87	0.00	0.01	0.00	0.60	66.71	44.08	33.29	27.01	19.91	1.69	1.01	500	unav100_v0_500
sft_7b_unav_v8_rl_v2_rMsep2_batch4	100	62.25	53.14	36.35	26.08	20.25	14.51	0.10	0.18	0.17	0.53	77.01	52.37	37.68	29.27	20.97	1.69	3.19	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_clip_mu2	100	62.22	49.83	34.76	25.33	19.90	14.22	0.07	0.16	0.13	0.51	74.76	51.30	37.56	29.50	21.09	1.69	3.32	500	unav100_v2_500
